time_s,keyence_mm,magnetic_raw_mm,magnetic_raw_filtered,error_raw,error_filtered
10.806,0.6513599999999999,0.7261878919403317,0.7373347500086282,0.07482789194033179,0.08597475000862831
10.81,0.64897,0.7238912825414054,0.7348987542230604,0.0749212825414054,0.08592875422306034
10.815,0.64635,0.7202167075031243,0.7323538688993931,0.0738667075031243,0.08600386889939315
10.819,0.64347,0.7192980637435546,0.7298581735797749,0.07582806374355466,0.08638817357977491
10.823,0.64093,0.7170014543446284,0.7275384280828388,0.07607145434462836,0.08660842808283875
10.828,0.6382099999999999,0.7137862011861325,0.7251322626867764,0.07557620118613251,0.0869222626867765
10.832,0.6350499999999999,0.7124082355467767,0.7227478032211154,0.07735823554677679,0.08769780322111553
10.838,0.63228,0.709652304268066,0.7204262510539283,0.07737230426806607,0.08814625105392837
10.842,0.6296200000000001,0.7055184073499996,0.71788213128176,0.07589840734999953,0.08826213128175997
10.847,0.6271,0.7036811198308586,0.7152505441828655,0.07658111983085858,0.0881505441828655
10.852,0.6240399999999999,0.7018438323117184,0.7127763287646316,0.0778038323117185,0.08873632876463167
10.856,0.62138,0.6995472229127921,0.7103828036646109,0.0781672229127921,0.08900280366461089
10.861,0.61809,0.695872647874511,0.7078719744643612,0.07778264787451095,0.0897819744643612
10.866,0.61545,0.6935760384755856,0.7052670821977091,0.07812603847558552,0.08981708219770901
10.871,0.6129499999999999,0.6921980728362298,0.7028142726619031,0.07924807283622992,0.08986427266190322
10.875,0.6104,0.6880641759181634,0.7003014067199983,0.07766417591816333,0.08990140671999824
10.88,0.60754,0.6871455321585929,0.6977858850137897,0.0796055321585929,0.09024588501378972
10.886,0.60503,0.6830116352405273,0.6952682337201789,0.07798163524052737,0.09023823372017892
10.891,0.60206,0.6811743477213863,0.692657870996658,0.07911434772138626,0.09059787099665795
10.896,0.5993999999999999,0.6774997726831051,0.6900186673058679,0.0780997726831052,0.09061866730586798
10.901,0.597,0.6747438414043945,0.6872653330336357,0.0777438414043945,0.09026533303363571
10.906,0.5946100000000001,0.6729065538852534,0.6846024879958734,0.07829655388525336,0.08999248799587334
10.911,0.59206,0.6701506226065428,0.6820122038903722,0.07809062260654276,0.08995220389037217
10.916,0.58928,0.6673946913278312,0.6793891007141964,0.07811469132783122,0.09010910071419642
10.922,0.5865499999999999,0.6632607944097648,0.6766031751353524,0.07671079440976492,0.09005317513535249
10.926,0.58402,0.6614235068906247,0.673777690332921,0.0774035068906247,0.08975769033292103
10.931,0.5810200000000001,0.6595862193714837,0.6711479934564306,0.07856621937148356,0.09012799345643052
10.935,0.57779,0.6563709662129877,0.6685387881028784,0.07858096621298771,0.09074878810287834
10.94,0.5750299999999999,0.6545336786938476,0.6659460143615126,0.07950367869384767,0.09091601436151264
10.944,0.57206,0.6522370692949213,0.6634574204667988,0.0801770692949213,0.09139742046679877
10.949,0.5688500000000001,0.6494811380162107,0.6609613618755382,0.08063113801621058,0.09211136187553814
10.954,0.5661499999999999,0.6462658848577147,0.6583683137709524,0.08011588485771481,0.09221831377095246
10.959,0.56325,0.644887919218359,0.6558339979866544,0.08163791921835895,0.0925839979866544
10.963,0.5605,0.6416726660598631,0.6533467781020941,0.08117266605986306,0.09284677810209407
10.967,0.55786,0.6389167347811515,0.6507608175234653,0.0810567347811515,0.09290081752346524
10.971,0.5552999999999999,0.6379980910215819,0.6483231888093371,0.08269809102158199,0.09302318880933724
10.976,0.55287,0.6347828378630851,0.6459590016230896,0.08191283786308512,0.09308900162308964
10.981,0.55043,0.6315675847045892,0.6434261958377395,0.0811375847045892,0.09299619583773955
10.986,0.5479700000000001,0.6292709753056638,0.6408491830116413,0.08130097530566371,0.09287918301164122
10.99,0.5451299999999999,0.6269743659067375,0.6383277254945497,0.0818443659067376,0.09319772549454985
10.995,0.5424100000000001,0.6232997908684563,0.6357143106607333,0.08088979086845627,0.09330431066073319
11.001,0.53976,0.6200845377099604,0.6329361539082892,0.0803245377099604,0.09317615390828915
11.006,0.5372999999999999,0.6187065720706046,0.630253404377846,0.08140657207060475,0.09295340437784616
11.011,0.5341100000000001,0.615950640791894,0.6276926612691996,0.0818406407918939,0.09358266126919956
11.016,0.5312699999999999,0.6127353876333981,0.6250477443548943,0.08146538763339817,0.09377774435489439
11.021,0.5287999999999999,0.6095201344749022,0.6222898287992983,0.08072013447490223,0.09348982879929835
11.026,0.5262199999999999,0.6086014907153316,0.6196688120360963,0.08238149071533174,0.09344881203609634
11.032,0.52287,0.60400827191748,0.6170210651516751,0.08113827191748002,0.09415106515167515
11.037,0.5202500000000001,0.6017116625185546,0.6142153784326785,0.08146166251855447,0.09396537843267838
11.041,0.5177799999999999,0.598955731239843,0.6114650514626652,0.08117573123984312,0.09368505146266526
11.046,0.5149999999999999,0.5966591218409176,0.6087591160163452,0.08165912184091773,0.09375911601634535
11.051,0.5121199999999999,0.5943625124419913,0.6061342788478773,0.08224251244199143,0.09401427884787739
11.056,0.50925,0.5916065811632807,0.6035289703661099,0.0823565811632807,0.09427897036610988
11.061,0.50668,0.5874726842452143,0.6007573138837294,0.08079268424521424,0.09407731388372942
11.066,0.5034799999999999,0.5865540404856437,0.5980342748635856,0.08307404048564382,0.0945542748635857
11.07,0.5004,0.5837981092069331,0.5954867265599341,0.08339810920693314,0.09508672655993411
11.075,0.4975499999999999,0.5815014998080077,0.5929433939819008,0.08395149980800781,0.09539339398190089
11.079,0.49451,0.5796642122888667,0.5904944456530323,0.08515421228886666,0.09598444565303232
11.084,0.4921999999999999,0.5759896372505855,0.5879846759112081,0.08378963725058558,0.09578467591120815
11.089,0.4897100000000001,0.5727743840920896,0.585289629426447,0.0830643840920895,0.09557962942644693
11.094,0.4869799999999999,0.5713964184527338,0.5826735238292726,0.0844164184527339,0.09569352382927271
11.099,0.48444,0.5677218434144526,0.5800752169644032,0.08328184341445266,0.09563521696440325
11.105,0.4817199999999999,0.5645065902559567,0.5773091748940844,0.0827865902559568,0.09558917489408447
11.11,0.47892,0.5617506589772461,0.5744996341531059,0.08283065897724606,0.09557963415310589
11.115,0.47621,0.5576167620591796,0.5715642092046428,0.08140676205917963,0.09535420920464277
11.121,0.47357,0.5544015089006828,0.5684823391429501,0.08083150890068286,0.09491233914295011
11.126,0.47095,0.5539421870208976,0.5656470536841387,0.08299218702089761,0.09469705368413872
