time_s,magnetic_raw_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
1.093,-18895.0,36913,35814.96902053219,0.6575899999999999
1.097,-18898.0,37129,36053.915542732895,0.66073
1.101,-18899.0,37340,36287.820438237875,0.6638599999999999
1.106,-18901.0,37549,36516.989143925406,0.6668699999999999
1.11,-18903.0,37756,36741.963771111106,0.67001
1.115,-18906.0,37954,36962.48558232839,0.6731499999999999
1.119,-18908.0,38150,37178.34710282186,0.6762899999999998
1.123,-18910.0,38345,37390.17446947397,0.6794099999999998
1.128,-18911.0,38535,37598.17257541599,0.68255
1.132,-18914.0,38724,37802.505719049914,0.6855499999999999
1.136,-18916.0,38908,38003.30564693418,0.68869
1.141,-18918.0,39092,38200.77706633939,0.69184
1.145,-18917.0,39270,38394.98506345314,0.69499
1.149,-18920.0,39445,38585.684639641135,0.6981199999999999
1.154,-18923.0,39618,38773.075589665896,0.7011099999999999
1.158,-18925.0,39789,38957.41718685943,0.70425
1.162,-18927.0,39959,39139.01639885108,0.7074
1.167,-18928.0,40125,39317.92124853746,0.7103999999999999
1.171,-18930.0,40297,39494.86368645683,0.71357
1.175,-18932.0,40461,39670.03439174478,0.7167299999999999
1.18,-18934.0,40626,39843.09094908679,0.71973
1.184,-18936.0,40791,40014.5512900873,0.72288
1.188,-18937.0,40951,40184.23635138417,0.7261899999999999
1.193,-18939.0,41114,40352.299736319335,0.7292099999999999
1.197,-18941.0,41271,40518.76555218686,0.7325199999999998
1.202,-18942.0,41430,40683.55406681288,0.7355499999999999
1.206,-18945.0,41592,40847.4929136669,0.73872
1.21,-18947.0,41747,41010.35418161734,0.74203
1.215,-18949.0,41904,41171.85605155681,0.7451999999999999
1.219,-18950.0,42056,41331.9706665257,0.7482199999999999
1.223,-18952.0,42211,41490.77475193987,0.7513699999999999
1.228,-18955.0,42363,41648.52795824334,0.7545299999999999
1.232,-18957.0,42518,41805.43849228406,0.75756
1.237,-18959.0,42673,41961.97049917884,0.7607199999999998
1.241,-18960.0,42828,42118.19897513144,0.76389
1.245,-18962.0,42982,42274.084994443525,0.7670599999999999
1.25,-18962.0,43136,42429.59734362351,0.77023
1.254,-18966.0,43290,42584.81005657269,0.77339
1.258,-18968.0,43443,42739.68343594777,0.7765599999999999
1.263,-18970.0,43597,42894.28471267299,0.77973
1.267,-18972.0,43748,43048.4696710994,0.7828899999999999
1.271,-18972.0,43904,43202.51892120934,0.78592
1.276,-18974.0,44061,43357.05372946245,0.7890999999999999
1.28,-18976.0,44216,43511.87883081603,0.79227
1.285,-18978.0,44372,43666.83764737854,0.7954299999999999
1.289,-18980.0,44527,43821.903686643,0.7985899999999999
1.293,-18982.0,44685,43977.25383132148,0.80175
1.298,-18984.0,44840,44132.831792643796,0.8048899999999999
1.302,-18985.0,44996,44288.39430777347,0.8079099999999999
1.306,-18986.0,45153,44444.14256336355,0.8110599999999999
1.311,-18987.0,45314,44600.53507522156,0.8142
1.315,-18991.0,45472,44757.543262378924,0.8173299999999999
1.319,-18993.0,45632,44914.946080155,0.82033
1.324,-18994.0,45794,45073.06159453403,0.82344
1.328,-18996.0,45961,45232.44204377888,0.8265499999999999
1.333,-18998.0,46127,45393.23306366538,0.8296599999999998
1.337,-19000.0,46295,45555.254246151184,0.8329199999999999
1.341,-19002.0,46463,45718.45998995938,0.8360099999999999
1.346,-19002.0,46632,45882.71466545027,0.83911
1.35,-19004.0,46800,46047.81045161272,0.84206
1.355,-19006.0,46974,46214.07601814303,0.8451299999999999
1.359,-19007.0,47148,46381.873979786105,0.84819
1.363,-19011.0,47322,46550.90072868354,0.85127
1.368,-19013.0,47501,46721.4081255833,0.8541999999999998
1.372,-19013.0,47682,46893.79625733652,0.8572599999999999
1.376,-19014.0,47867,47068.28687986717,0.8603399999999999
1.381,-19016.0,48056,47245.25593976144,0.8633899999999999
1.385,-19017.0,48246,47424.707709145885,0.8664399999999999
1.389,-19020.0,48442,47606.843740081385,0.86934
1.394,-19021.0,48639,47791.82565185361,0.8725499999999999
1.398,-19023.0,48841,47979.68397953063,0.8754499999999998
1.403,-19025.0,49043,48170.34414520121,0.8784999999999998
1.407,-19025.0,49248,48363.54822044864,0.8815599999999999
1.411,-19028.0,49461,48559.881884694056,0.8844999999999998
1.416,-19029.0,49669,48759.02227340884,0.88768
1.42,-19031.0,49880,48960.215174148674,0.89072
1.424,-19032.0,50084,49162.657677476716,0.89378
1.429,-19034.0,50284,49365.01250923321,0.89682
1.433,-19036.0,50480,49566.504534046355,0.8997199999999999
1.437,-19038.0,50675,49766.8093808231,0.9027799999999999
1.442,-19040.0,50865,49965.567881755196,0.90584
1.446,-19041.0,51049,50161.996713755194,0.9087399999999999
1.45,-19042.0,51231,50355.76494021666,0.9117899999999999
1.455,-19043.0,51410,50546.90438132956,0.91483
1.459,-19046.0,51585,50735.24242651042,0.91788
1.464,-19048.0,51756,50920.54160070395,0.9209099999999999
1.468,-19048.0,51921,51102.41335256683,0.9238199999999999
1.472,-19049.0,52088,51281.14049208274,0.9268799999999999
1.477,-19051.0,52246,51456.652607591306,0.9299199999999999
1.481,-19055.0,52403,51628.59604830501,0.93295
1.485,-19054.0,52553,51796.88535733305,0.9359999999999999
1.49,-19057.0,52703,51961.55107222454,0.93903
1.494,-19059.0,52851,52123.11299612323,0.94191
1.498,-19061.0,52994,52281.49262958263,0.9449399999999999
1.503,-19063.0,53135,52436.62702596548,0.9479899999999999
1.507,-19064.0,53275,52588.86196273267,0.95088
1.511,-19064.0,53418,52738.97002560505,0.95391
1.516,-19068.0,53550,52886.5800989346,0.95709
1.52,-19069.0,53689,53031.79084757436,0.9601299999999999
1.525,-19071.0,53819,53174.87951462484,0.9631599999999999
1.529,-19072.0,53972,53317.65342486299,0.9662099999999999
1.534,-19073.0,54106,53460.5711926192,0.96985
1.539,-19076.0,54237,53601.42492602072,0.9729099999999999
1.543,-19078.0,54381,53741.61419644714,0.9759899999999999
1.548,-19080.0,54514,53881.468777881055,0.97951
1.553,-19082.0,54639,54019.172780658424,0.9825999999999999
1.557,-19083.0,54766,54154.55791202445,0.9856999999999999
1.561,-19083.0,54889,54287.885475164825,0.9888199999999999
1.566,-19087.0,55026,54420.55376034856,0.9919399999999999
1.57,-19089.0,55148,54552.59432473665,0.9953299999999999
1.575,-19090.0,55278,54683.43809411928,0.9984599999999999
1.58,-19092.0,55407,54814.01562737192,1.00189
1.584,-19094.0,55534,54944.08248335585,1.00517
1.589,-19096.0,55654,55072.848272098665,1.0083099999999998
1.593,-19098.0,55775,55199.976390245145,1.01147
1.597,-19099.0,55902,55326.484745744674,1.01449
1.602,-19101.0,56033,55453.4867616875,1.01792
1.607,-19101.0,56153,55580.19118868614,1.02138
1.611,-19104.0,56274,55705.66635517754,1.02453
1.616,-19106.0,56399,55830.651125953525,1.02768
1.62,-19106.0,56519,55955.14359815219,1.03084
1.624,-19108.0,56639,56078.74599320837,1.03402
1.629,-19110.0,56758,56201.53559568455,1.03718
1.633,-19112.0,56900,56325.85283111914,1.04036
1.638,-19113.0,57027,56452.187540582774,1.04412
1.643,-19116.0,57149,56578.158745747554,1.0473
1.647,-19117.0,57288,56705.02722452642,1.05049
1.652,-19120.0,57432,56834.79459327562,1.0542699999999998
1.657,-19122.0,57551,56964.905241939414,1.05805
1.662,-19122.0,57677,57093.508020522866,1.0611199999999998
1.666,-19123.0,57797,57221.000741006676,1.06448
1.671,-19125.0,57920,57347.30614562339,1.0676899999999998
1.675,-19128.0,58042,57472.8575992934,1.0709
1.679,-19129.0,58167,57598.002605924936,1.07411
1.684,-19132.0,58292,57723.118882921095,1.07733
1.688,-19134.0,58419,57848.410248734996,1.0804
1.692,-19134.0,58547,57974.13920319013,1.08361
1.697,-19135.0,58678,58100.61530115429,1.08682
1.701,-19139.0,58807,58227.78957698484,1.09001
1.706,-19139.0,58937,58355.424640068246,1.0932
1.71,-19141.0,59070,58483.82544901595,1.0964
1.714,-19143.0,59205,58613.33560527883,1.09945
1.719,-19145.0,59345,58744.42876015983,1.10264
1.723,-19147.0,59482,58876.98940626767,1.10584
1.727,-19148.0,59625,59011.02398444708,1.10906
1.732,-19150.0,59767,59146.735785796904,1.11225
1.736,-19151.0,59915,59284.28782409151,1.1153
1.741,-19154.0,60063,59423.9098789579,1.11866
1.745,-19156.0,60227,59566.77683639902,1.12187
1.75,-19158.0,60388,59713.533617003486,1.12521
1.754,-19160.0,60547,59862.9142283977,1.12873
1.758,-19161.0,60708,60014.39882055066,1.1318
1.763,-19161.0,60876,60168.46210802159,1.13517
1.767,-19163.0,61043,60325.187562371546,1.13824
1.772,-19164.0,61216,60484.54305406787,1.14146
1.776,-19168.0,61390,60646.70094564027,1.14466
1.78,-19167.0,61568,60811.601323703486,1.14787
1.785,-19171.0,61752,60979.69146118088,1.1510799999999999
1.789,-19172.0,61943,61151.627203974494,1.15429
1.793,-19173.0,62134,61327.34007856269,1.15736
1.798,-19175.0,62333,61506.8742410107,1.16058
1.802,-19177.0,62539,61690.95854114663,1.16379
1.806,-19179.0,62748,61879.6821085507,1.16685
1.811,-19180.0,62969,62073.61172977224,1.1700599999999999
1.815,-19182.0,63193,62273.20189600738,1.17327
1.819,-19184.0,63434,62479.31236765605,1.17647
1.824,-19186.0,63679,62692.73162710142,1.17967
1.828,-19187.0,63930,62913.00224263244,1.18303
1.833,-19188.0,64192,63140.45085405886,1.18622
1.837,-19190.0,64457,63375.04219570266,1.18941
1.842,-19192.0,64743,63617.73862072204,1.19259
1.846,-19193.0,65024,63868.519309330804,1.19578
1.85,-19195.0,65324,64127.16944033592,1.19896
