time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
15.227,0.5112252522008784,0.5268913967516581,0.2784091839107816,0.5459127582871524,0.5567265101953679,
15.233,0.5075506771625973,0.5234235055524373,0.27470800091576564,0.5430693671270156,0.5543023455804712,
15.238,0.5043354240041014,0.5199601667224573,0.27093388820656283,0.5400792202940976,0.5517805830548945,
15.244,0.5011201708456055,0.5165459802023417,0.2668680566406092,0.5371807957566679,0.5491751075557261,
15.25,0.4974455958073243,0.5131257057391392,0.2632261290383715,0.5343007156783359,0.5465134083917618,
15.255,0.4937710207690431,0.5096550476298751,0.2597391770787807,0.5309987130407577,0.5437666452237755,
15.261,0.48917780197119143,0.5060529844328067,0.2555411604058637,0.5279351883714491,0.5409334988687472,
15.266,0.485043905053125,0.502300049074084,0.2518718841608054,0.5249633859976288,0.5380637948000443,
15.271,0.4809100081350586,0.4984716351901435,0.248357583558394,0.5215696610645625,0.5351320653768614,
15.277,0.47677611121699215,0.49458269706608105,0.24431910063526097,0.518762958822621,0.5321669548002954,
15.282,0.473101536178711,0.4906907280339414,0.2410007986397309,0.515350889430457,0.5291732594961884,
15.288,0.4698862830202142,0.48688733236639276,0.2371218494663827,0.5119571644973906,0.5260984905193209,
15.293,0.46575238610214775,0.48310945946059325,0.2333796435071367,0.5085084061870312,0.5229550761801591,
15.298,0.4620778110638666,0.4793065506998344,0.22971036726207839,0.5050229589584765,0.5197475306320879,
15.304,0.45932187978515593,0.47562007200165524,0.2259636031956953,0.5016108895663125,0.5164921944786006,
15.309,0.45564730474687476,0.4720269555021231,0.22265897552157465,0.49821716463324606,0.5132076226002076,
15.314,0.45151340782880833,0.468372198034261,0.2191310005977547,0.49465833956830074,0.5098850692812502,
15.319,0.4487574765500977,0.4647590160683522,0.2157306526737619,0.4911545478806484,0.5065211560836556,
15.323,0.44600154527138614,0.46131567805657664,0.21264937224933966,0.48774247848848434,0.5031386155727042,
