time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
0.598,3424.0,3424.0,3299.0999999999985,-0.29466704648565234,-0.28039083402269943,0.25512
0.603,3430.0,3430.0,3307.209999999999,-0.29809746033691403,-0.28355915566037515,0.25868
0.609,3438.0,3438.0,3315.1899999999987,-0.30106926271073436,-0.28673397316281524,0.26220999999999983
0.613,3444.0,3444.0,3321.8199999999997,-0.3039493427890664,-0.2898594817157277,0.2650899999999998
0.617,3448.0,3448.0,3328.3499999999985,-0.306957834081082,-0.29294908524237906,0.26808999999999994
0.622,3455.0,3455.0,3335.0200000000004,-0.31003970320948826,-0.29602988733925895,0.27105
0.626,3462.0,3462.0,3341.6899999999987,-0.31315826125608986,-0.2991145353640248,0.27403
0.63,3467.0,3467.0,3348.3499999999985,-0.31691887537110935,-0.30226950597215085,0.27703999999999995
0.636,3474.0,3474.0,3356.4500000000007,-0.32091796745439843,-0.3055680949061609,0.28079999999999994
0.641,3480.0,3480.0,3364.4500000000007,-0.32471527048761323,-0.3089854821114288,0.28447999999999984
0.647,3486.0,3486.0,3371.9000000000015,-0.32867767365270706,-0.3124944959986492,0.28801999999999994
0.652,3492.0,3492.0,3379.5099999999984,-0.3327501435723867,-0.31610424181343055,0.2916599999999998
0.657,3498.0,3498.0,3386.91,-0.3364924132283086,-0.31977295478120155,0.29521
0.662,3503.0,3503.0,3393.529999999999,-0.34054653868889057,-0.3234871346944554,0.29845999999999995
0.667,3511.0,3511.0,3400.8199999999997,-0.34480245319954683,-0.32728865664446594,0.3019799999999999
0.672,3516.0,3516.0,3407.970000000001,-0.34918677892388666,-0.33119292655920585,0.3056699999999999
0.678,3523.0,3523.0,3415.0800000000017,-0.3532592488435664,-0.33516141475482647,0.3091999999999999
0.683,3528.0,3528.0,3421.75,-0.35709324079497656,-0.3391268800851182,0.3125899999999999
0.687,3531.0,3531.0,3427.6500000000015,-0.3609272327463867,-0.34306629707404845,0.3155999999999999
0.692,3537.0,3537.0,3433.779999999999,-0.365018047125164,-0.3470102682302816,0.3188599999999999
0.697,3542.0,3542.0,3440.2000000000007,-0.36949409514499215,-0.3510214953675786,0.3222799999999999
0.702,3548.0,3548.0,3447.380000000001,-0.3736949762783554,-0.3550975568660035,0.3261299999999998
0.708,3554.0,3554.0,3454.0999999999985,-0.3778041351162304,-0.3591892621217071,0.32982999999999985
0.713,3559.0,3559.0,3460.6800000000003,-0.3818949494950078,-0.3632826081316218,0.3334299999999999
0.719,3566.0,3566.0,3467.4300000000003,-0.38525198550987894,-0.3673027621423098,0.33729999999999993
0.723,3570.0,3570.0,3472.9000000000015,-0.38853564368835936,-0.3711842659597921,0.34033999999999986
