,,1.85502
,,1.85606
,,1.85697
,,1.85761
,,1.85825
,,1.85897
,,1.85974
,,1.86036
,,1.86099
,,1.86158
,,1.86203
,,1.86233
,,1.86244
,,1.86258
,,1.86276
,,1.86300
,,1.86327
,,1.86356
,,1.86385
,,1.86413
,,1.86442
,,1.86466
,,1.86486
,,1.86551
,,1.86552
,,1.86555
,,1.86627
,,1.86796
,,1.87067
,,1.87422
,,1.87875
,,1.88409
,,1.88975
,,1.89503
,,1.90030
,,1.90531
,,1.91015
,,1.91473
,,1.91917
,,1.92329
,,1.92722
,,1.93073
,,1.93419
,,1.93739
,,1.94035
,,1.94307
,,1.94568
,,1.94805
,,1.95017
,,1.95197
,,1.95380
,,1.95540
,,1.95674
,,1.95819
,,1.95924
,,1.96029
,,1.96126
,,1.96241
,,1.96334
,,1.96395
,,1.96455
,,1.96512
,,1.96555
,,1.96582
,,1.96608
,,1.96640
,,1.96676
,,1.96712
,,1.96744
,,1.96769
,,1.96788
,,1.96799
,,1.96807
,,1.96807
,,1.96807
,,1.96807
,,1.96807
,,1.96807
,,1.96821
,,1.96828
,,1.96842
,,1.96947
,,1.97173
,,1.97480
,,1.97899
,,1.98390
,,1.98974
,,1.99545
,,2.00121
,,2.00666
,,2.01185
,,2.01677
,,2.02195
,,2.02671
,,2.03083
,,2.03519
,,2.03882
,,2.04199
,,2.04495
,,2.04791
,,2.05031
,,2.05268
,,2.05488
,,2.05708
,,2.05880
,,2.06038
,,2.06182
,,2.06301
,,2.06403
,,2.06497
,,2.06582
,,2.06644
,,2.06700
,,2.06765
,,2.06829
,,2.06881
,,2.06940
,,2.07005
,,2.07069
,,2.07124
,,2.07166
,,2.07189
,,2.07195
,,2.07195
,,2.07195
,,2.07195
,,2.07195
,,2.07195
,,2.07196
,,2.07196
,,2.07197
,,2.07198
,,2.07200
,,2.07233
,,2.07234
,,2.07237
,,2.07341
,,2.07560
,,2.07893
,,2.08321
,,2.08845
,,2.09418
,,2.10018
,,2.10589
,,2.11101
,,2.11591
,,2.12061
,,2.12490
,,2.12919
,,2.13307
,,2.13664
,,2.14007
,,2.14322
,,2.14636
,,2.14926
,,2.15207
,,2.15434
,,2.15639
,,2.15807
,,2.15964
,,2.16119
,,2.16222
,,2.16329
,,2.16437
,,2.16549
,,2.16632
,,2.16703
,,2.16778
,,2.16845
,,2.16889
,,2.16931
,,2.16981
,,2.17026
,,2.17062
,,2.17090
,,2.17109
,,2.17117
,,2.17117
,,2.17116
,,2.17116
,,2.17116
,,2.17116
,,2.17116
,,2.17140
,,2.17140
,,2.17143
,,2.17229
,,2.17405
,,2.17701
,,2.18099
,,2.18561
,,2.19137
,,2.19670
,,2.20193
,,2.20692
,,2.21158
,,2.21629
,,2.22069
,,2.22487
,,2.22871
,,2.23237
,,2.23585
,,2.23908
,,2.24245
,,2.24521
,,2.24804
,,2.25023
,,2.25218
,,2.25401
,,2.25557
,,2.25687
,,2.25830
,,2.25934
,,2.26025
,,2.26110
,,2.26205
,,2.26286
,,2.26345
,,2.26401
,,2.26447
,,2.26476
,,2.26488
,,2.26497
,,2.26510
,,2.26523
,,2.26538
,,2.26554
,,2.26571
,,2.26583
,,2.26619
,,2.26617
,,2.26622
,,2.26697
,,2.26873
,,2.27208
,,2.27613
,,2.28092
,,2.28718
,,2.29248
,,2.29831
,,2.30316
,,2.30780
,,2.31222
,,2.31639
,,2.32042
,,2.32418
,,2.32761
,,2.33084
,,2.33369
,,2.33648
,,2.33884
,,2.34095
,,2.34306
,,2.34483
,,2.34651
,,2.34800
,,2.34923
,,2.35037
,,2.35126
,,2.35215
,,2.35285
,,2.35333
,,2.35375
,,2.35417
,,2.35454
,,2.35483
,,2.35517
,,2.35560
,,2.35609
,,2.35659
,,2.35704
,,2.35740
,,2.35766
,,2.35785
,,2.35807
,,2.35809
,,2.35817
,,2.35864
,,2.36006
,,2.36230
,,2.36542
,,2.36940
,,2.37434
,,2.37936
,,2.38456
,,2.38976
,,2.39515
,,2.39983
,,2.40421
,,2.40831
,,2.41195
,,2.41550
,,2.41871
,,2.42167
,,2.42435
,,2.42692
,,2.42968
,,2.43177
,,2.43366
,,2.43553
,,2.43730
,,2.43857
,,2.43989
,,2.44106
,,2.44218
,,2.44297
,,2.44370
,,2.44430
,,2.44473
,,2.44509
,,2.44540
,,2.44571
,,2.44588
,,2.44594
,,2.44604
,,2.44616
,,2.44631
,,2.44645
,,2.44660
,,2.44674
,,2.44687
