time_s,magnetic_raw_mm,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
0.285,-0.09130859375,-0.3439729969653431,-0.08041015625000003,-0.06424999999999992
0.289,-0.09423828125,-0.3469585571398941,-0.08337890625000002,-0.06733000000000011
0.293,-0.09814453125,-0.3499577916358554,-0.08638671875000002,-0.07055000000000011
0.298,-0.10107421875,-0.35296614234608903,-0.08937500000000001,-0.07376000000000005
0.302,-0.103515625,-0.35597449305632267,-0.09228515625000001,-0.07695999999999992
0.306,-0.10791015625,-0.3589691694451487,-0.09519531250000002,-0.08014999999999994
0.311,-0.11083984375,-0.3619775201553823,-0.09810546875000002,-0.08318000000000003
0.315,-0.1142578125,-0.3649949870798901,-0.10097656250000002,-0.08634999999999993
0.319,-0.11865234375,-0.36803068643294434,-0.10384765625000002,-0.08953000000000011
0.324,-0.12255859375,-0.3711210830716407,-0.10671875000000001,-0.09271999999999991
0.328,-0.12548828125,-0.37419324728178793,-0.10960937500000001,-0.09577999999999998
0.332,-0.12841796875,-0.3772836439204834,-0.11244140625000001,-0.09895999999999994
0.337,-0.130859375,-0.38033301759494886,-0.11527343750000002,-0.10216000000000003
0.341,-0.134765625,-0.3833732750551393,-0.11810546875000003,-0.10532999999999992
0.345,-0.138671875,-0.3864317649438789,-0.12089843750000001,-0.10837999999999992
0.35,-0.14306640625,-0.38955406833253114,-0.12373046875000002,-0.11156999999999995
0.354,-0.1455078125,-0.39265813929263693,-0.12660156250000001,-0.11477000000000004
0.358,-0.1494140625,-0.3957850007884245,-0.12947265625,-0.11797999999999997
0.363,-0.15234375,-0.39893921092703444,-0.13234375,-0.12118999999999991
0.367,-0.15576171875,-0.4020615143156867,-0.13523437500000002,-0.12424999999999997
0.372,-0.15869140625,-0.4051747014900666,-0.13816406250000002,-0.1274599999999999
0.376,-0.16259765625,-0.40833802784294804,-0.14099609375000002,-0.13078999999999996
0.38,-0.16650390625,-0.4114603312316021,-0.14388671875000003,-0.13383999999999996
0.385,-0.17138671875,-0.41464189001303087,-0.14675781250000003,-0.13705000000000012
0.389,-0.1748046875,-0.4178462393301441,-0.14966796875000002,-0.14023999999999992
0.393,-0.17724609375,-0.4210505886472564,-0.15263671875,-0.14329999999999998
0.398,-0.1796875,-0.4242275893215499,-0.15558593750000002,-0.14649
0.402,-0.18310546875,-0.4273590089244754,-0.1585546875,-0.14969999999999994
0.406,-0.1875,-0.4305132190630854,-0.161484375,-0.15287000000000006
0.411,-0.19091796875,-0.43369477784451504,-0.16447265625000002,-0.1560600000000001
0.415,-0.19482421875,-0.4368672204116715,-0.16746093750000002,-0.15922999999999998
0.419,-0.1982421875,-0.4400305467645538,-0.1705859375,-0.16226999999999991
0.424,-0.201171875,-0.44329870958158146,-0.1736328125,-0.16545999999999994
0.428,-0.20458984375,-0.44646203593446376,-0.17673828125000002,-0.1686700000000001
0.433,-0.2080078125,-0.4496025717516625,-0.17982421875000001,-0.17185000000000006
0.437,-0.21142578125,-0.4527248751403157,-0.18292968750000002,-0.17489
0.441,-0.21533203125,-0.4558973177074721,-0.18611328125,-0.17809000000000008
0.445,-0.21826171875,-0.4590743183817656,-0.18931640625,-0.1811100000000001
0.45,-0.22216796875,-0.4622330866275117,-0.1926171875,-0.1842999999999999
0.454,-0.22607421875,-0.46543743594462406,-0.19589843750000002,-0.1875
0.458,-0.228515625,-0.4686053204046434,-0.19923828125,-0.19056000000000006
0.463,-0.232421875,-0.47176408865039043,-0.20257812500000003,-0.1937500000000001
0.467,-0.2353515625,-0.47494108932468215,-0.20605468750000003,-0.19680999999999993
0.471,-0.23828125,-0.47811353189183947,-0.20962890625000002,-0.19996999999999998
0.476,-0.2421875,-0.4813589041731827,-0.21314453125000002,-0.20313000000000003
0.48,-0.24658203125,-0.4845404629546124,-0.21673828125,-0.20632000000000006
0.484,-0.25,-0.4877448122717247,-0.22042968750000003,-0.20936
0.489,-0.25341796875,-0.490953719695975,-0.22421875000000002,-0.21253999999999995
0.493,-0.2548828125,-0.49411704604886,-0.22800781250000002,-0.21572999999999998
0.497,-0.25927734375,-0.49727125618746904,-0.23183593750000003,-0.2187699999999999
0.502,-0.26318359375,-0.5004254663260763,-0.23568359375000003,-0.2219199999999999
0.506,-0.26611328125,-0.5035933507860975,-0.23968750000000003,-0.22493999999999992
0.51,-0.27001953125,-0.5068296068531684,-0.24357421875000002,-0.2281200000000001
0.515,-0.27392578125,-0.509997491313186,-0.24746093750000003,-0.23130000000000006
0.519,-0.27685546875,-0.5132063987374362,-0.25142578125000004,-0.23432999999999993
0.523,-0.27978515625,-0.5164335385902348,-0.25521484375000003,-0.23753000000000002
0.528,-0.283203125,-0.5195968649431162,-0.25890625,-0.24069000000000007
0.532,-0.2861328125,-0.5227100521174961,-0.26251953125000005,-0.24368999999999996
0.536,-0.28955078125,-0.5258460298275569,-0.26619140625000004,-0.24685
0.541,-0.29345703125,-0.5290959602160381,-0.26970703125000006,-0.2500199999999999
0.545,-0.296875,-0.5322729608903316,-0.273125,-0.25315
0.549,-0.30029296875,-0.5354317291360786,-0.2765234375,-0.25617
0.554,-0.30322265625,-0.5385996135960962,-0.2798828125,-0.25932
0.558,-0.30615234375,-0.5417720561632535,-0.28314453125000005,-0.26245000000000007
0.562,-0.3095703125,-0.5449581730518194,-0.28630859375,-0.26559
0.567,-0.31298828125,-0.5480713602261993,-0.28943359375,-0.26857
0.571,-0.31640625,-0.5512574771147651,-0.29251953125,-0.27170000000000005
0.575,-0.32080078125,-0.5544618264318792,-0.29552734375,-0.27482000000000006
0.58,-0.32421875,-0.5576616176418554,-0.29851562500000006,-0.27797000000000005
0.584,-0.3271484375,-0.5608750831732419,-0.30140625,-0.2810999999999999
0.588,-0.32958984375,-0.5640156189904406,-0.30427734375000004,-0.28424000000000005
0.593,-0.33349609375,-0.5671880615575962,-0.30707031250000005,-0.28737999999999997
0.597,-0.3359375,-0.5703194811605226,-0.30976562500000004,-0.29054
0.602,-0.3388671875,-0.5733962034778077,-0.31244140625000005,-0.2935000000000001
0.606,-0.34375,-0.5765504136164168,-0.315078125,-0.29664
0.61,-0.3466796875,-0.5796863913264811,-0.3176171875,-0.29977999999999994
0.615,-0.3505859375,-0.5827995785008593,-0.320234375,-0.30277
0.619,-0.3525390625,-0.5859720210680148,-0.32279296875,-0.3059099999999999
0.623,-0.35546875,-0.5890806501352568,-0.32525390625000006,-0.3090600000000001
0.628,-0.35888671875,-0.5921756048810884,-0.32775390625,-0.31217000000000006
0.632,-0.36279296875,-0.5952979082697425,-0.33013671875000006,-0.31526999999999994
0.636,-0.36572265625,-0.5983974211227103,-0.33255859375,-0.31838999999999995
0.641,-0.369140625,-0.6015197245113626,-0.33492187500000004,-0.32148
0.645,-0.37255859375,-0.6046420279000149,-0.33722656250000005,-0.32457
0.649,-0.37548828125,-0.6077005177887536,-0.33953125,-0.3275300000000001
0.654,-0.37890625,-0.6107681238917646,-0.34181640625000004,-0.33064000000000004
0.658,-0.38134765625,-0.6138448462090498,-0.34404296875,-0.33370999999999995
0.662,-0.38525390625,-0.6168531969192834,-0.34625,-0.3366500000000001
0.667,-0.3876953125,-0.6198843381652033,-0.34847656250000003,-0.33972
0.671,-0.3916015625,-0.6229337118396661,-0.35068359375,-0.34264000000000006
0.675,-0.3955078125,-0.6259830855141324,-0.352890625,-0.3456999999999999
0.68,-0.3984375,-0.6291053889027847,-0.355078125,-0.34878999999999993
0.684,-0.40185546875,-0.632150204470113,-0.35720703125000003,-0.3517300000000001
