time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,keyence_mm
16.765,-0.02618134714775433,-0.026001484254094036,-0.3324865669808128,-0.025760000000000005
16.77,-0.025262703388183816,-0.025946116063749736,-0.33246833455226543,-0.02574999999999994
16.775,-0.025722025267969073,-0.02585621588620246,-0.33243642780230864,-0.025760000000000005
16.78,-0.02618134714775433,-0.025875131073061032,-0.33243642780230864,-0.025760000000000005
16.785,-0.02618134714775433,-0.025935800547838707,-0.3324455440165819,-0.025760000000000005
16.789,-0.025262703388183816,-0.025893446030809734,-0.33243186969517247,-0.025760000000000005
16.794,-0.02618134714775433,-0.025859483059865282,-0.33241819537376127,-0.02577000000000007
16.799,-0.02618134714775433,-0.025923252818463298,-0.33243186969517247,-0.02577000000000007
16.805,-0.02618134714775433,-0.02597438810721934,-0.3324455440165819,-0.02577000000000007
16.809,-0.02618134714775433,-0.026015392147592874,-0.3324592183379922,-0.02577000000000007
16.814,-0.025262703388183816,-0.02595726843700136,-0.3324455440165819,-0.025779999999999914
16.819,-0.02618134714775433,-0.025910660565339104,-0.3324273115880345,-0.02577000000000007
16.824,-0.025722025267969073,-0.02591878882636118,-0.3324273115880345,-0.025779999999999914
16.828,-0.026640669027539587,-0.02597080854960198,-0.3324409859094457,-0.02577000000000007
16.833,-0.02618134714775433,-0.026058023679628426,-0.33246377644512926,-0.02577000000000007
16.837,-0.026640669027539587,-0.02612795919382585,-0.3324865669808128,-0.02577000000000007
16.843,-0.02618134714775433,-0.026184038639497434,-0.3325139156236334,-0.02577000000000007
16.848,-0.025722025267969073,-0.026138003499099352,-0.33250935751649635,-0.025760000000000005
16.852,-0.025722025267969073,-0.026055587248329702,-0.332491125087949,-0.02577000000000007
16.858,-0.025262703388183816,-0.02594399794398394,-0.332454660230856,-0.02577000000000007
16.863,-0.02618134714775433,-0.025900019306734717,-0.33243642780230864,-0.02577000000000007
16.868,-0.025262703388183816,-0.02586475399658963,-0.3324227534808992,-0.02577000000000007
16.873,-0.02618134714775433,-0.02583647567380802,-0.3324090791594889,-0.02577000000000007
16.879,-0.02618134714775433,-0.02590480380194787,-0.3324227534808992,-0.02577000000000007
16.885,-0.025722025267969073,-0.025914092442153824,-0.3324227534808992,-0.02577000000000007
16.89,-0.02618134714775433,-0.02592154075793116,-0.3324227534808992,-0.02577000000000007
16.896,-0.027099990907324845,-0.02606401902089831,-0.3324728926594034,-0.02577000000000007
16.9,-0.025262703388183816,-0.026087264815032835,-0.3324820088736766,-0.02577000000000007
16.906,-0.025722025267969073,-0.025969399349855093,-0.33245010212371984,-0.02577000000000007
16.911,-0.02618134714775433,-0.025965889909593087,-0.3324455440165819,-0.02577000000000007
16.916,-0.02618134714775433,-0.026008577666887942,-0.3324592183379922,-0.025760000000000005
16.922,-0.02618134714775433,-0.026042807854418995,-0.3324728926594034,-0.025760000000000005
16.927,-0.026640669027539587,-0.026115758024606278,-0.33249568319508604,-0.02574999999999994
16.932,-0.026640669027539587,-0.02621975672841333,-0.332532148052179,-0.025760000000000005
16.936,-0.02618134714775433,-0.026257648663142237,-0.3325503804807264,-0.025760000000000005
