time_s,magnetic_raw,magnetic_raw_mm,posic_encoder_mm,magnetic_raw_filtered,posic_encoder_filtered,keyence_mm,posic_lut_calibrated
13.331,-21930.0,2.176020650711865,117485,2.198764755079899,118356.1667636859,2.19748,2.198003779298944
13.335,-21924.0,2.173249238293213,117379,2.195911771875707,118246.89809594334,2.19456,2.222625723375897
13.34,-21916.0,2.16955402173501,117275,2.1930138202801355,118138.13413325576,2.19178,2.2207633745457924
13.344,-21911.0,2.1672445113861327,117172,2.1901035235699537,118029.9925541168,2.18899,2.2174192793122605
13.348,-21906.0,2.164935001037256,117065,2.18726426071197,117922.22241894294,2.18622,2.2084693523567553
13.353,-21900.0,2.162163588618604,116961,2.1844603265850013,117814.72069273572,2.18344,2.209234059835602
13.357,-21893.0,2.158930274130176,116857,2.181632931207307,117707.63299240835,2.18068,2.1907662486587847
13.361,-21888.0,2.156620763781299,116750,2.178812154963292,117600.73301350356,2.17792,2.1908202476641128
13.366,-21881.0,2.153387449292872,116642,2.1759972152410425,117493.76209122765,2.17519,2.1958217075673203
13.37,-21874.0,2.150154134804444,116536,2.1731328090641298,117386.78773095296,2.17244,2.178113027579857
13.375,-21868.0,2.147382722385791,116430,2.1702520915369123,117279.9285739655,2.16969,2.1930501595483154
13.379,-21865.0,2.145997016176465,116322,2.1674662170215,117173.05276443336,2.16693,2.198099874981189
13.383,-21858.0,2.142763701688037,116210,2.164736665325608,117065.80756688204,2.16418,2.1879704258896906
13.388,-21852.0,2.139992289269385,116100,2.1619748577875084,116958.1184210334,2.16142,2.1677042505109947
13.392,-21846.0,2.1372208768507326,115989,2.159211914618327,116850.0969344207,2.15866,2.1637364138821424
13.397,-21839.0,2.1339875623623046,115877,2.156420663640933,116741.66416649116,2.1559,2.1667890069124995
13.401,-21833.0,2.1312161499436524,115763,2.153604451823225,116632.6913928146,2.15315,2.1766536135692496
13.405,-21827.0,2.128444737525,115650,2.150793536853276,116523.1833434623,2.15041,2.150452287669024
13.41,-21820.0,2.125211423036572,115530,2.147959986011138,116412.84860225931,2.14765,2.1686153372226187
13.414,-21814.0,2.12244001061792,115410,2.1451064756445173,116301.37109116498,2.14477,2.14896147313457
13.419,-21808.0,2.119668598199268,115291,2.1422626721119347,116188.94504274044,2.14187,2.1610271203205853
13.423,-21804.0,2.117820989920166,115166,2.139482040624336,116075.38702011514,2.13912,2.166695470290951
13.428,-21797.0,2.1145876754317383,115041,2.1367298055997,115960.47615764188,2.13623,2.1596263110922793
13.433,-21791.0,2.111816263013086,114919,2.133947996691578,115844.54976025491,2.13334,2.162835231604052
13.437,-21784.0,2.108582948524658,114796,2.131140110562019,115727.84613431136,2.13058,2.159172157676092
13.442,-21777.0,2.1053496340362305,114667,2.128281923997711,115610.0433534881,2.12785,2.1552639599664336
13.446,-21772.0,2.1030401236873537,114538,2.125433997156716,115490.9166717522,2.12497,2.125067557093148
13.451,-21762.0,2.0984211029896,114409,2.122513197638038,115370.62262025652,2.12208,2.1396446699016596
13.455,-21758.0,2.096573494710498,114277,2.1195554479760137,115249.12187053284,2.11934,2.1463805775218407
13.459,-21751.0,2.0933401802220706,114144,2.116647036307977,115126.32062670884,2.11657,2.1274183440972263
13.464,-21746.0,2.0910306698731933,114009,2.11375482271809,115002.19530024544,2.11391,2.1234908443186984
13.468,-21741.0,2.0887211595243165,113866,2.110931504926381,114876.3112698075,2.11114,2.129405014502577
13.473,-21736.0,2.08641164917544,113729,2.108168937052286,114748.75824060378,2.10823,2.1299191197927207
13.477,-21729.0,2.083178334687012,113585,2.105405323445279,114619.6744289636,2.10546,2.1127730747899056
13.481,-21721.0,2.0794831181288087,113441,2.102558868402663,114488.82700485228,2.10268,2.1138697466671106
13.486,-21714.0,2.0762498036403807,113292,2.099639366664584,114356.12890164136,2.10001,2.1166344562119903
13.49,-21708.0,2.0734783912217285,113140,2.0967100677885737,114221.32599481504,2.09722,2.10951994022464
13.494,-21703.0,2.071168880872852,112981,2.093826743033702,114084.07597142264,2.09441,2.1211920240697997
13.499,-21697.0,2.0683974684541995,112817,2.0909839566591866,113943.95875702013,2.0916,2.093402884897484
13.503,-21690.0,2.0651641539657715,112645,2.0881223027214646,113800.54482718169,2.08877,2.1040868317268857
13.508,-21684.0,2.06239274154712,112469,2.0852440120230016,113653.5145596114,2.08582,2.089666042237871
13.512,-21677.0,2.059159427058692,112292,2.0823510516077914,113502.99994427204,2.08287,2.0986933395518648
13.517,-21671.0,2.056388014640039,112110,2.079445155946785,113349.0582479227,2.08004,2.081935192196262
13.521,-21664.0,2.0531547001516115,111918,2.076527854436115,113191.20790982204,2.07708,2.0850595458772436
13.526,-21656.0,2.049459483593408,111724,2.073545882747602,113029.20165865646,2.07411,2.080939425689538
13.53,-21651.0,2.047149973244532,111516,2.070561500042933,112862.5849895957,2.07125,2.074627010743707
13.535,-21642.0,2.042992854616553,111313,2.067547684939872,112691.37095787696,2.06826,2.070458652564898
13.539,-21637.0,2.040683344267676,111111,2.064507917372004,112516.45783611576,2.06539,2.0675943864486612
13.544,-21630.0,2.037450029779248,110912,2.06149987872016,112338.5194550543,2.0625,2.0647287279952344
13.548,-21626.0,2.0356024215001467,110705,2.0585471239707,112157.61791861818,2.0596,2.0617917507608308
13.553,-21618.0,2.031907204941944,110504,2.0556158101945265,111973.98534008049,2.05671,2.0568794312231407
13.557,-21611.0,2.028673890453516,110300,2.052621482977847,111788.12197583618,2.0538,2.057305144034971
13.561,-21605.0,2.025902478034863,110101,2.0496262055983503,111600.40981717066,2.05075,2.0517000581468006
13.566,-21595.0,2.021283457337109,109905,2.046548171053628,111411.54039509258,2.04783,2.050702123138344
13.57,-21589.0,2.0185120449184573,109710,2.0433971641201367,111221.88700799397,2.04503,2.048092770540746
13.574,-21585.0,2.016664436639356,109518,2.040345651362722,111031.77881740792,2.04208,2.0422347464290374
13.579,-21580.0,2.0143549262904785,109325,2.037409175556122,110841.38783172645,2.03911,2.043517117556722
13.583,-21571.0,2.0101978076625,109138,2.0344376030888625,110651.0430741568,2.03615,2.036727211205113
13.588,-21565.0,2.007426395243848,108956,2.03140777715918,110461.38937029958,2.03317,2.036557694064037
13.592,-21559.0,2.0046549828251954,108775,2.028408504697969,110272.69971794543,2.03033,2.031830682636116
13.596,-21550.0,2.0004978641972166,108593,2.0253542538774383,110084.86013266268,2.02731,2.028072869239782
13.6,-21543.0,1.997264549708789,108413,2.022224218604386,109897.82922434292,2.02445,2.026716518045217
13.605,-21537.0,1.9944931372901369,108231,2.0191092785827265,109711.51137923128,2.02143,2.0242870315255312
