keyence_time_s,keyence_displacement_mm,time_ms,arduino_displacement_mm,arduino_time_s
0.25080000000000013,-0.1831999999999998,26868.0,-2.1565316485243766,2.854
0.2510000000000001,-0.18335999999999997,26871.0,-2.158186241415006,2.857
0.2512000000000001,-0.18351000000000006,26873.0,-2.159950228876916,2.859
0.25140000000000007,-0.18366000000000016,26875.0,-2.161340451553613,2.8609999999999998
0.25160000000000005,-0.18381999999999987,26878.0,-2.1628719755515515,2.864
0.2518,-0.18396999999999997,26880.0,-2.164157361764106,2.8659999999999997
0.2520000000000002,-0.18412000000000006,26882.0,-2.1659851627259314,2.8679999999999994
0.2522000000000002,-0.18427999999999978,26884.0,-2.1672386421885292,2.87
0.2524000000000002,-0.18442999999999987,26887.0,-2.1690710012574907,2.873
0.25260000000000016,-0.18459000000000003,26890.0,-2.1716691223254188,2.8759999999999994
0.25280000000000014,-0.18474000000000013,26892.0,-2.173355621966005,2.878
0.2530000000000001,-0.18489999999999984,26894.0,-2.1745316136072788,2.88
0.2532000000000001,-0.18506,26897.0,-2.1763685307833764,2.883
0.25340000000000007,-0.1852100000000001,26899.0,-2.1782327966022947,2.885
0.25360000000000005,-0.1853699999999998,26901.0,-2.1794771598506184,2.8869999999999996
0.2538,-0.1855199999999999,26904.0,-2.181177333812615,2.8899999999999997
0.254,-0.18568000000000007,26906.0,-2.1824718362394417,2.8919999999999995
0.2542000000000002,-0.18583000000000016,26908.0,-2.183702525166357,2.894
0.2544000000000002,-0.18598999999999988,26910.0,-2.1851975843072005,2.896
0.25460000000000016,-0.18613999999999997,26913.0,-2.1876771945895754,2.899
0.25480000000000014,-0.18630000000000013,26915.0,-2.1891449050875984,2.901
0.2550000000000001,-0.18644999999999978,26917.0,-2.1905396858714354,2.9029999999999996
0.2552000000000001,-0.18659999999999988,26921.0,-2.1928962272611177,2.907
0.25540000000000007,-0.18674999999999997,26923.0,-2.194213520223631,2.909
0.25560000000000005,-0.18691000000000013,26925.0,-2.195444209150544,2.9109999999999996
0.2558,-0.18705999999999978,26927.0,-2.196870896684336,2.9130000000000003
0.256,-0.18721999999999994,26930.0,-2.1988080922174422,2.9159999999999995
0.2562000000000002,-0.18737000000000004,26932.0,-2.2004718013223457,2.918
0.2564000000000002,-0.18752999999999975,26934.0,-2.201570305142294,2.92
0.25660000000000016,-0.18767999999999985,26936.0,-2.2033206182827954,2.9219999999999997
0.25680000000000014,-0.18784,26939.0,-2.204934188209192,2.925
0.2570000000000001,-0.1879900000000001,26941.0,-2.206328968993029,2.9269999999999996
0.2572000000000001,-0.18814999999999982,26943.0,-2.2077283078840004,2.9290000000000003
0.2574000000000001,-0.1882999999999999,26945.0,-2.2091276467749736,2.931
0.25760000000000005,-0.18846000000000007,26947.0,-2.21056345052304,2.933
0.25780000000000003,-0.1886199999999998,26949.0,-2.2118579529498685,2.9349999999999996
0.258,-0.18876999999999988,26951.0,-2.2137495674116057,2.9370000000000003
0.2582000000000002,-0.18893000000000004,26953.0,-2.2151443481954427,2.939
0.2584000000000002,-0.18908000000000014,26955.0,-2.2164388506222714,2.941
0.25860000000000016,-0.18923999999999985,26957.0,-2.217856421941791,2.9429999999999996
0.25880000000000014,-0.1894,26959.0,-2.2190460879044736,2.9450000000000003
0.2590000000000001,-0.18956000000000017,26961.0,-2.2206824483665564,2.947
0.2592000000000001,-0.18970999999999982,26964.0,-2.2224236452927837,2.95
0.2594000000000001,-0.18986999999999998,26966.0,-2.2241602841118713,2.952
0.25960000000000005,-0.19002000000000008,26968.0,-2.2255641811099824,2.9539999999999997
0.25980000000000003,-0.19017000000000017,26970.0,-2.226890590286766,2.9559999999999995
0.26,-0.19031999999999982,26972.0,-2.2284312304989786,2.958
0.2602000000000002,-0.19047999999999998,26975.0,-2.230710284067337,2.9610000000000003
0.2604000000000002,-0.19063000000000008,26977.0,-2.2322509242795476,2.963
0.26060000000000016,-0.19078000000000017,26980.0,-2.2342610495268396,2.966
0.26080000000000014,-0.19092999999999982,26983.0,-2.23605238563157,2.9690000000000003
0.2610000000000001,-0.19108999999999998,26985.0,-2.2378801865933955,2.971
0.2612000000000001,-0.19124000000000008,26987.0,-2.2395302213768886,2.973
0.2614000000000001,-0.1913999999999998,26990.0,-2.241640624981189,2.976
0.26160000000000005,-0.1915499999999999,26992.0,-2.242857639586692,2.9779999999999998
0.26180000000000003,-0.19171000000000005,26995.0,-2.2444712095130903,2.981
0.262,-0.19186000000000014,26997.0,-2.2460847794394905,2.9829999999999997
0.2622000000000002,-0.1920099999999998,26999.0,-2.2476071872231547,2.9850000000000003
0.2624000000000002,-0.19216999999999995,27002.0,-2.249097688256862,2.9879999999999995
0.26260000000000017,-0.19232000000000005,27004.0,-2.250679351433302,2.99
0.26280000000000014,-0.19247999999999976,27006.0,-2.2524661294308963,2.992
0.2630000000000001,-0.19262999999999986,27009.0,-2.254676811392205,2.995
0.2632000000000001,-0.19279000000000002,27012.0,-2.2569330744248806,2.998
0.2634000000000001,-0.1929400000000001,27015.0,-2.259079942886274,3.0009999999999994
0.26360000000000006,-0.19309999999999983,27017.0,-2.2605157466343417,3.003
0.26380000000000003,-0.19324999999999992,27019.0,-2.261618808561426,3.005
0.264,-0.19341000000000008,27022.0,-2.263505864916027,3.008
0.2642000000000002,-0.19356000000000018,27024.0,-2.264923436235547,3.01
0.2644000000000002,-0.1937199999999999,27026.0,-2.266678307483186,3.0119999999999996
0.26460000000000017,-0.19387,27029.0,-2.268939128622998,3.0149999999999997
0.26480000000000015,-0.19402000000000008,27031.0,-2.270652976906403,3.0169999999999995
0.2650000000000001,-0.1941799999999998,27033.0,-2.2721480360472484,3.019
0.2652000000000001,-0.1943299999999999,27036.0,-2.2739621626876616,3.0220000000000002
0.2654000000000001,-0.19448,27038.0,-2.2755985231497444,3.024
0.26560000000000006,-0.19463000000000008,27040.0,-2.276879351255161,3.026
0.26580000000000004,-0.1947899999999998,27042.0,-2.2788028724668568,3.0279999999999996
0.266,-0.1949399999999999,27045.0,-2.2806352315358183,3.0309999999999997
0.2662000000000002,-0.19510000000000005,27047.0,-2.2817519677843148,3.0329999999999995
0.2664000000000002,-0.19525000000000015,27049.0,-2.283069260746826,3.035
0.26660000000000017,-0.19540999999999986,27051.0,-2.2849745495299736,3.037
0.26680000000000015,-0.19555999999999996,27054.0,-2.287012023420088,3.04
0.2670000000000001,-0.19572000000000012,27057.0,-2.2889173122032354,3.043
0.2672000000000001,-0.19586999999999977,27060.0,-2.2910322739146736,3.0460000000000003
0.2674000000000001,-0.19602999999999993,27062.0,-2.2929649113406416,3.048
0.26760000000000006,-0.19618000000000002,27065.0,-2.294751689338236,3.051
0.26780000000000004,-0.19634000000000018,27067.0,-2.2961100052649783,3.053
0.268,-0.1964999999999999,27069.0,-2.2974911117274033,3.0549999999999997
0.2682000000000002,-0.19666000000000006,27071.0,-2.2990955654395293,3.0569999999999995
0.2684000000000002,-0.19681000000000015,27073.0,-2.3005815083660988,3.059
0.26860000000000017,-0.19696999999999987,27075.0,-2.301898801328611,3.061
0.26880000000000015,-0.19713000000000003,27077.0,-2.303330046969541,3.0629999999999997
0.26900000000000013,-0.1972900000000002,27079.0,-2.3050666857886295,3.0649999999999995
0.2692000000000001,-0.19743999999999984,27081.0,-2.306611884107979,3.067
0.2694000000000001,-0.1976,27083.0,-2.3081342918916414,3.069
0.26960000000000006,-0.1977500000000001,27085.0,-2.309374097032829,3.0709999999999997
0.26980000000000004,-0.1979000000000002,27087.0,-2.3109101791379025,3.0729999999999995
0.27,-0.1980599999999999,27089.0,-2.3124644936715235,3.075
0.2702000000000002,-0.19821,27091.0,-2.314433595954588,3.077
0.2704000000000002,-0.19837000000000016,27094.0,-2.3161292118094465,3.08
0.2706000000000002,-0.1985199999999998,27096.0,-2.3178385019857153,3.082
0.27080000000000015,-0.1986699999999999,27098.0,-2.3192788638409185,3.0839999999999996
0.27100000000000013,-0.19883000000000006,27100.0,-2.3205733662677472,3.0860000000000003
0.2712000000000001,-0.19898000000000016,27102.0,-2.32200005380154,3.088
0.2714000000000001,-0.19913999999999987,27104.0,-2.323299114335504,3.09
0.27160000000000006,-0.19930000000000003,27106.0,-2.324894451833356,3.0919999999999996
0.27180000000000004,-0.19945000000000013,27108.0,-2.3263165812600137,3.0940000000000003
0.272,-0.19960999999999984,27111.0,-2.3283677294715366,3.0969999999999995
0.2722000000000002,-0.19977,27113.0,-2.3298673467195163,3.099
0.2724000000000002,-0.1999200000000001,27115.0,-2.331193755896301,3.101
0.2726000000000002,-0.2000799999999998,27117.0,-2.3327252798942393,3.1029999999999998
0.27280000000000015,-0.2002299999999999,27119.0,-2.3340288985353412,3.1049999999999995
0.27300000000000013,-0.20039000000000007,27121.0,-2.3355604225332787,3.107
