time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
8.216,0.032611853464746154,0.02787133020927199,-0.24391798720723035,0.15634765625000002,0.08985999999999983
8.22,0.03307117534453141,0.028856054688492165,-0.24315222520826119,0.16042968750000008,0.09299999999999975
8.226,0.03398981910410104,0.02978218495063113,-0.24225883620946487,0.1644531250000001,0.09656999999999982
8.231,0.03536778474345681,0.030752333824252062,-0.24127884317506965,0.16865234375000004,0.10050999999999988
8.237,0.03674575038281258,0.031803281947250885,-0.24032164067635975,0.1722656250000001,0.10418999999999978
8.242,0.03674575038281258,0.03278251520399973,-0.2394510422132461,0.17560546875000005,0.1075999999999997
8.247,0.038123716022167464,0.03370424219956111,-0.23863969914290895,0.1788476562500001,0.11088999999999971
8.251,0.03904235978173798,0.03467086020976238,-0.23779189121547972,0.1818945312500001,0.11415999999999982
8.256,0.03996100354130849,0.035627973256543495,-0.2369896643594176,0.18529296875000006,0.11729999999999974
8.261,0.041338969180664265,0.036622966408612075,-0.2360506942892533,0.18871093750000006,0.12085999999999975
8.267,0.04225761294023389,0.037648334618773434,-0.2350798174691331,0.1917773437500001,0.12452999999999981
8.272,0.04271693482001915,0.03860705601758114,-0.23420466089888237,0.19460937500000008,0.12792999999999988
8.276,0.04409490045937492,0.03955783697980241,-0.2333614110785902,0.19787109375000012,0.13103999999999982
8.282,0.04455422233916018,0.04050225071519668,-0.23235862750851144,0.20117187500000006,0.13482999999999978
8.287,0.04593218797851506,0.04144155873920773,-0.23136040204557062,0.2039453125000001,0.1386099999999999
8.292,0.04731015361787083,0.042467776397720564,-0.23046701304677253,0.20679687500000005,0.1419999999999999
8.297,0.04776947549765609,0.04347268083172304,-0.2295736240479762,0.20935546875000005,0.1452399999999998
8.302,0.04776947549765609,0.04432398909785757,-0.22877139719191408,0.21218750000000003,0.1483699999999999
8.307,0.04914744113701186,0.04514313641493206,-0.22788256630025394,0.21476562500000007,0.15174999999999983
8.312,0.04914744113701186,0.04593649471456303,-0.22703475837282383,0.21730468750000004,0.1551199999999997
8.316,0.050984728656152,0.04675467536572926,-0.22625532205244525,0.2197265625000001,0.1582199999999998
8.321,0.05144405053593726,0.047638262291343,-0.22545309519638224,0.2225585937500001,0.16132999999999975
8.326,0.053740659934863544,0.048619798669590895,-0.22445031162630524,0.2252929687500001,0.1649799999999999
8.332,0.053740659934863544,0.04963437624748129,-0.2234612023776359,0.22789062500000007,0.16862999999999984
8.337,0.05465930369443317,0.05053894303771099,-0.222581487700249,0.23042968750000004,0.1718799999999998
8.342,0.055577947454003684,0.051446298846568136,-0.22165619195149588,0.23302734375000006,0.1753899999999997
8.347,0.0564965912135742,0.05235589109595761,-0.22074001241701424,0.23562500000000008,0.1789099999999999
8.352,0.05741523497314471,0.05326727668806817,-0.21979648423971376,0.2379296875000001,0.1825399999999997
8.357,0.05833387873271434,0.05418010031444279,-0.21895779252655778,0.24050781250000008,0.18562999999999974
8.362,0.059252522492284854,0.055094077062594116,-0.2180142643492573,0.24283203125000008,0.18911999999999973
8.367,0.059252522492284854,0.0559179746988095,-0.2171801307432384,0.24517578125000006,0.1923699999999997
8.372,0.06108981001142588,0.056760644039113024,-0.21636422956576506,0.24730468750000006,0.19560999999999984
8.376,0.06108981001142588,0.05761836591419312,-0.21558479324538649,0.24945312500000005,0.19858999999999982
8.38,0.062467775650780766,0.058442656135249134,-0.21481447313928026,0.2515625000000001,0.2015499999999999
8.385,0.06338641941035128,0.05933114216393865,-0.21402592060462844,0.2537304687500001,0.2045199999999998
8.389,0.06384574129013654,0.06018010134897921,-0.21323736806997573,0.25585937500000006,0.20748999999999973
8.394,0.0643050631699218,0.0609518631148859,-0.21248528039241865,0.2580468750000001,0.2104499999999998
8.398,0.06522370692949231,0.061707224189890324,-0.2117058440720383,0.2602343750000001,0.21341999999999972
8.403,0.06568302880927757,0.06244943398310344,-0.2109309658587959,0.2625781250000001,0.2165299999999999
8.407,0.06660167256884719,0.06318109811005247,-0.21010139035991315,0.2648632812500001,0.2197899999999997
8.412,0.06797963820820296,0.06399530971505532,-0.2093037216109872,0.26726562500000006,0.22291999999999978
8.417,0.06843896008798822,0.06483021208220666,-0.2084057745050547,0.26958984375000006,0.22644999999999982
8.422,0.06935760384755874,0.06563620394126701,-0.2076035476489917,0.2717968750000001,0.2295799999999999
8.426,0.06981692572734399,0.06641901322583095,-0.20681955322147694,0.27427734375000007,0.23270999999999975
8.431,0.07119489136669888,0.06722873489983616,-0.20593528043695208,0.27671875000000007,0.23611999999999989
8.436,0.07211353512626939,0.06810553879460238,-0.20506924008097638,0.2792773437500001,0.23949999999999982
