Time(s),Value
186.927427,2567.000000
187.377031,2564.000000
187.378516,2564.000000
195.429661,2564.000000
199.480914,2314.000000
202.032041,2114.000000
206.083547,2109.000000
206.532761,2107.000000
206.984514,2104.000000
207.434371,2102.000000
207.884484,2100.000000
208.335741,2098.000000
208.786520,2096.000000
209.236603,2093.000000
209.686642,2091.000000
210.136952,2089.000000
210.584794,2086.000000
211.033805,2084.000000
211.485816,2082.000000
211.935869,2080.000000
212.386478,2078.000000
212.836620,2075.000000
213.287753,2073.000000
213.737710,2071.000000
214.188448,2069.000000
214.637914,2066.000000
215.089759,2064.000000
215.540367,2062.000000
215.990886,2060.000000
216.440849,2057.000000
216.891063,2055.000000
217.342282,2053.000000
217.792382,2050.000000
218.241628,2048.000000
218.693301,2046.000000
219.140543,2043.000000
219.144070,2043.000000
220.642820,2045.000000
221.093729,2047.000000
221.543658,2049.000000
221.995068,2052.000000
221.996482,2052.000000
229.895465,2052.000000
233.945597,1799.000000
236.948693,1596.000000
240.249304,1591.000000
240.700429,1589.000000
241.149932,1587.000000
241.601089,1584.000000
242.051871,1582.000000
242.502374,1580.000000
242.952575,1578.000000
243.402372,1576.000000
243.853007,1574.000000
244.300276,1572.000000
244.749922,1569.000000
245.201150,1567.000000
245.652344,1565.000000
246.102100,1563.000000
246.552326,1561.000000
247.003915,1558.000000
247.453850,1556.000000
247.904000,1554.000000
248.354539,1552.000000
248.805965,1550.000000
249.255707,1547.000000
249.706235,1545.000000
250.156718,1543.000000
250.607209,1541.000000
251.057670,1538.000000
251.508591,1536.000000
251.958090,1534.000000
252.404964,1532.000000
252.410101,1532.000000
253.908988,1533.000000
254.359073,1535.000000
254.809282,1538.000000
254.810665,1538.000000
262.710925,1538.000000
266.761474,1285.000000
269.464185,1084.000000
273.064521,1080.000000
273.515772,1077.000000
273.965358,1075.000000
274.415648,1073.000000
274.867000,1071.000000
275.317388,1069.000000
275.767697,1067.000000
276.218492,1064.000000
276.668515,1062.000000
277.118245,1060.000000
277.569048,1058.000000
278.017235,1056.000000
278.466330,1053.000000
278.917684,1051.000000
279.368228,1049.000000
279.818231,1047.000000
280.268979,1045.000000
280.719502,1042.000000
281.170248,1040.000000
281.621206,1038.000000
282.070487,1036.000000
282.521893,1033.000000
282.972108,1031.000000
283.422929,1029.000000
283.873283,1027.000000
284.324365,1024.000000
284.775002,1022.000000
285.223838,1020.000000
285.674424,1018.000000
285.675859,1018.000000
287.174481,1019.000000
287.624975,1021.000000
288.076052,1024.000000
288.526755,1026.000000
288.528118,1026.000000
296.427336,1026.000000
300.477298,779.000000
304.381222,578.000000
308.280616,574.000000
308.730523,571.000000
309.182053,569.000000
309.631507,567.000000
310.081871,565.000000
310.532078,563.000000
310.983401,561.000000
311.433464,559.000000
311.884711,557.000000
312.334603,554.000000
312.784728,553.000000
313.235080,550.000000
313.682326,548.000000
314.133608,546.000000
314.583416,544.000000
315.033977,542.000000
315.484517,540.000000
315.935961,538.000000
316.385406,536.000000
316.836598,533.000000
317.286620,531.000000
317.736791,529.000000
318.188046,527.000000
318.638054,525.000000
319.088609,523.000000
319.539717,521.000000
319.989037,518.000000
320.439801,516.000000
320.886675,514.000000
321.337268,512.000000
321.787536,510.000000
322.238175,507.000000
322.239618,507.000000
323.741710,509.000000
324.191840,511.000000
324.642162,513.000000
324.643551,513.000000
